U;UR;I;f;;B1;B2;;R1;R2
10,6;2,9;0,00427;100;;22000;9599,05;;220;73,3334
10,1;4,9;0,00754;200;;Q1;Q2;;;
9,6;6,2;0,00968;300;;0,327188;0,7498822;;;
9,2;7,05;0,01103;400;;C gemessen;;;;
9,2;7,6;0,011845;500;;1,93E-06;;;;
9;8;0,01236;600;;C ideal;L ideal;;;
8,8;8,2;0,01269;700;;2,00E-06;1,00E-02;;;
8,8;8,4;0,0129;800;;;;;;
8,7;8,5;0,01303;900;;omega1';omega2';;;
8,7;8,5;0,0131;1000;;2145,853;4411,5705;;;
8,7;8,5;0,01312;1100;;omega1'';omega2'';;;
8,7;8,6;0,01313;1200;;24145,853;11744,903;;;
8,7;8,6;0,01311;1300;;;;;;
8,7;8,5;0,01307;1400;;;;;;
8,6;8,5;0,01304;1500;;;;;;
8,6;8,5;0,01297;1600;;;;;;
8,7;8,4;0,01288;1700;;;;;;
8,8;8,4;0,012795;1800;;;;;;
8,8;8,3;0,012705;1900;;;;;;
8,8;8,2;0,01261;2000;;;;;;
8,8;8,2;0,0125;2100;;;;;;
8,9;8,1;0,01239;2200;;;;;;
9;8,05;0,01216;2400;;;;;;
9;7,9;0,011915;2600;;;;;;
9;7,7;0,01166;2800;;;;;;
9,2;7,6;0,0114;3000;;;;;;
9,3;7,2;0,01074;3500;;;;;;
9,5;6,9;0,01008;4000;;;;;;
9,95;5,8;0,00794;5800;;;;;;
10,3;4,6;0,006015;7900;;;;;;
10,5;3,7;0,00408;11000;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
U2;UR2;I2;f2;;;;;;
10,7;1,01;0,004455;100;;;;;;
10,5;1,91;0,00872;200;;;;;;
10,2;2,75;0,012665;300;;;;;;
9,4;3,5;0,01622;400;;;;;;
8,8;4,15;0,01925;500;;;;;;
8,3;4,7;0,021735;600;;;;;;
7,7;5,15;0,02375;700;;;;;;
7,2;5,45;0,02525;800;;;;;;
6,8;5,7;0,02628;900;;;;;;
6,45;5,8;0,02694;1000;;;;;;
6,4;5,9;0,02712;1050;;;;;;
6,35;5,9;0,027265;1100;;;;;;
6,3;5,9;0,02734;1110;;;;;;
6,3;5,9;0,02731;1125,4;;;;;;
6,3;5,9;0,027335;1140;;;;;;
6,3;5,9;0,02731;1200;;;;;;
6,3;5,9;0,02725;1250;;;;;;
6,35;5,9;0,027175;1300;;;;;;
6,4;5,85;0,026895;1400;;;;;;
6,6;5,75;0,02649;1500;;;;;;
6,8;5,6;0,02601;1600;;;;;;
6,95;5,5;0,025465;1700;;;;;;
7,2;5,45;0,02485;1800;;;;;;
7,35;5,25;0,02426;1900;;;;;;
7,6;5,15;0,02365;2000;;;;;;
7,9;4,9;0,02242;2200;;;;;;
8,4;4,65;0,02124;2400;;;;;;
8,6;4,4;0,0201;2600;;;;;;
8,8;4,25;0,01904;2800;;;;;;
9,1;3,95;0,01805;3000;;;;;;
9,7;3,2;0,01407;4000;;;;;;
10,1;2,8;0,01204;4700;;;;;;
10,4;2;0,00811;6800;;;;;;
10,6;1,4;0,00437;11000;;;;;;
